fit-54.3	america		exist-47.1-1	Synset('fear.n.01')
amuse-31.1	Synset('bridge.n.05')		Synset('value.n.02')	Synset('attraction.n.01')
Synset('choice.n.02')	await		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('activity.n.01')	accompany-51.7		appear-48.1.1	dow
put-9.1	Synset('financial_loss.n.01')		amuse-31.1	Synset('activity.n.01')
calibratable_cos-45.6-1	Synset('bean.n.02')		build-26.1-1	Synset('indefinite_quantity.n.01')
Synset('happening.n.01')	conjecture-29.5-1		amuse-31.1	Synset('unit.n.03')
Synset('time_period.n.01')	escape-51.1-1		murder-42.1-1	Synset('arab.n.01')
Synset('merchant.n.01')	Synset('tax.n.01')		Synset('monetary_unit.n.01')	Synset('evaluation.n.02')
other_cos-45.4	Synset('share.n.01')		amuse-31.1	characterize-29.2-1
begin-55.1-1	Synset('class.n.03')		characterize-29.2-1	Synset('happening.n.01')
other_cos-45.4	Synset('agent.n.03')		appear-48.1.1	Synset('time_period.n.01')
Synset('happening.n.01')	Synset('building.n.01')		Synset('structure.n.01')	declare-29.4-1-1-2
calibratable_cos-45.6-1	Synset('maker.n.01')		Synset('attraction.n.01')	Synset('flow.n.01')
amuse-31.1	Synset('correctional_institution.n.01')		murder-42.1-1	Synset('reformer.n.01')
Synset('activity.n.01')	Synset('time_period.n.01')		calibratable_cos-45.6-1	dow
Synset('emergence.n.01')	Synset('precious_metal.n.01')		stop-55.4-1	Synset('time_unit.n.01')
Synset('value.n.02')	send-11.1-1		Synset('activity.n.01')	stop-55.4-1
other_cos-45.4	Synset('professional.n.01')		get-13.5.1	Synset('american.n.01')
exist-47.1-1	Synset('extent.n.02')		Synset('activity.n.01')	Synset('skilled_worker.n.01')
calibratable_cos-45.6-1	Synset('value.n.02')		crane-40.3.2	Synset('agent.n.05')
Synset('tax.n.01')	Synset('negative_stimulus.n.01')		calibratable_cos-45.6-1	Synset('component.n.01')
begin-55.1-1	Synset('legal_document.n.01')		Synset('discussion.n.02')	Synset('building.n.01')
begin-55.1-1	Synset('value.n.02')		Synset('commerce.n.01')	Synset('insufficiency.n.03')
appear-48.1.1	continue-55.3		fill-9.8	Synset('experiment.n.02')
other_cos-45.4	Synset('fund.n.01')		Synset('monetary_unit.n.01')	Synset('decrease.n.02')
appear-48.1.1	Synset('indefinite_quantity.n.01')		Synset('value.n.02')	Synset('capital.n.01')
consume-66	Synset('point.n.06')		Synset('idea.n.01')	Synset('structure.n.01')
convert-26.6.2	Synset('time_period.n.01')		amuse-31.1	Synset('happening.n.01')
appear-48.1.1	Synset('fuel.n.01')		characterize-29.2-1	Synset('politician.n.02')
Synset('happening.n.01')	contiguous_location-47.8		disappearance-48.2	brooklyn
amuse-31.1	ferret-35.6		amuse-31.1	Synset('discussion.n.02')
Synset('share.n.01')	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
near	Synset('retreat.n.01')		complete-55.2	Synset('clergyman.n.01')
fill-9.8	Synset('leader.n.01')		characterize-29.2-1	Synset('serviceman.n.01')
calibratable_cos-45.6-1	Synset('commerce.n.01')		dow	Synset('component.n.01')
amuse-31.1	Synset('funds.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('noise.n.01')	Synset('motor_vehicle.n.01')		Synset('adult.n.01')	characterize-29.2-1-1
appear-48.1.1	Synset('value.n.02')		calibratable_cos-45.6-1	Synset('fuel.n.01')
Synset('merchant.n.01')	Synset('tax.n.01')		Synset('monetary_unit.n.01')	Synset('longing.n.01')
calibratable_cos-45.6-1	Synset('bean.n.02')		appear-48.1.1	Synset('cereal.n.01')
appear-48.1.1	Synset('commodity.n.01')		Synset('commerce.n.01')	Synset('disparity.n.01')
Synset('activity.n.01')	await		calibratable_cos-45.6-1	dow
Synset('precious_metal.n.01')	send-11.1		stop-55.4-1	Synset('time_unit.n.01')
Synset('tax.n.01')	Synset('curiosity.n.01')		appear-48.1.1	Synset('value.n.02')
Synset('choice.n.02')	Synset('legislature.n.01')		Synset('idea.n.01')	Synset('fund.n.01')
Synset('emotion.n.01')	Synset('economic_process.n.01')		appear-48.1.1	Synset('value.n.02')
convert-26.6.2	Synset('concentration.n.05')		Synset('medium_of_exchange.n.01')	Synset('money.n.01')
Synset('merchant.n.01')	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
other_cos-45.4	Synset('explosive_device.n.01')		disappearance-48.2	Synset('arab.n.01')
Synset('assembly.n.04')	Synset('judgment.n.03')		Synset('military_action.n.01')	Synset('professional.n.01')
Synset('activity.n.01')	Synset('artifact.n.01')		calibratable_cos-45.6-1	Synset('american.n.01')
calibratable_cos-45.6-1	Synset('activity.n.01')		dow	Synset('component.n.01')
Synset('value.n.02')	Synset('fuel.n.01')		judgement-33	gore
Synset('slav.n.01')	bosnia		bump-18.4	Synset('rocket.n.01')
get-13.5.1	Synset('serviceman.n.01')		convert-26.6.2	Synset('ending.n.04')
other_cos-45.4	Synset('body_of_water.n.01')		Synset('value.n.02')	Synset('lipid.n.01')
Synset('military_action.n.01')	Synset('unit.n.03')		Synset('commerce.n.01')	Synset('area.n.01')
braid-41.2.2	Synset('insufficiency.n.03')		Synset('computer_network.n.01')	Synset('line.n.01')
Synset('idea.n.01')	Synset('commerce.n.01')		other_cos-45.4	Synset('discussion.n.02')
other_cos-45.4	Synset('situation.n.03')		characterize-29.2-1	Synset('person.n.01')
Synset('value.n.02')	Synset('bean.n.02')		calibratable_cos-45.6-1	continue-55.3
calibratable_cos-45.6-1	Synset('request.n.01')		appear-48.1.1	Synset('building.n.01')
appear-48.1.1	stop-55.4-1		conjecture-29.5-1	Synset('animal.n.01')
escape-51.1-2	Synset('agent.n.03')		appear-48.1.1	Synset('content.n.05')
other_cos-45.4	Synset('improvement.n.02')		Synset('person.n.01')	disappearance-48.2
other_cos-45.4	Synset('unfortunate.n.01')		Synset('activity.n.01')	continue-55.3
Synset('framework.n.03')	Synset('indefinite_quantity.n.01')		amuse-31.1	Synset('capitalist.n.02')
Synset('commerce.n.01')	flinch-40.5		fill-9.8	Synset('closure.n.07')
bring-11.3	Synset('legislature.n.01')		Synset('legal_document.n.01')	clear-10.3-1
Synset('auditory_communication.n.01')	transcribe-25.4		Synset('auditory_communication.n.01')	transcribe-25.4
other_cos-45.4	Synset('explosive_device.n.01')		Synset('activity.n.01')	Synset('person.n.01')
Synset('content.n.05')	Synset('funds.n.01')		calibratable_cos-45.6-1	Synset('attraction.n.01')
Synset('collection.n.01')	Synset('merchant.n.01')		Synset('value.n.02')	Synset('attraction.n.01')
other_cos-45.4	Synset('economic_process.n.01')		indicate-78-1	Synset('system.n.02')
calibratable_cos-45.6-1	Synset('evidence.n.02')		appear-48.1.1	continue-55.3
appear-48.1.1	Synset('commodity.n.01')		calibratable_cos-45.6-1	Synset('insufficiency.n.03')
braid-41.2.2	Synset('insufficiency.n.03')		contribute-13.2-1	Synset('line.n.01')
cheat-10.6-1	Synset('interest.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
amuse-31.1	Synset('serviceman.n.01')		indicate-78-1	Synset('skilled_worker.n.01')
appear-48.1.1	Synset('commodity.n.01')		other_cos-45.4	Synset('gregorian_calendar_month.n.01')
contiguous_location-47.8-1	Synset('communicator.n.01')		convert-26.6.2	Synset('military_action.n.01')
near	Synset('season.n.02')		appear-48.1.1	Synset('emotion.n.01')
other_cos-45.4	Synset('loop.n.02')		amuse-31.1	Synset('person.n.01')
calibratable_cos-45.6-1	Synset('commerce.n.01')		calibratable_cos-45.6-1	dow
other_cos-45.4	Synset('financial_gain.n.01')		appear-48.1.1	Synset('user.n.01')
Synset('tax.n.01')	Synset('curiosity.n.01')		amuse-31.1	Synset('customer.n.01')
Synset('activity.n.01')	admire-31.2		amuse-31.1	Synset('unit.n.03')
near	Synset('vote.n.02')		appear-48.1.1	Synset('concept.n.01')
Synset('value.n.02')	Synset('attraction.n.01')		Synset('skilled_worker.n.01')	Synset('speech_act.n.01')
Synset('emotion.n.01')	Synset('tax.n.01')		appear-48.1.1	Synset('value.n.02')
Synset('anticipation.n.01')	Synset('share.n.01')		dow	Synset('component.n.01')
appear-48.1.1	Synset('military_action.n.01')		Synset('adult.n.01')	Synset('serviceman.n.01')
Synset('share.n.01')	Synset('magnitude_relation.n.01')		amuse-31.1	Synset('military_action.n.01')
Synset('force.n.04')	Synset('motor_vehicle.n.01')		admire-31.2	Synset('adult.n.01')
amuse-31.1	Synset('plan_of_action.n.01')		convert-26.6.2	Synset('relief.n.02')
Synset('thoroughfare.n.01')	Synset('partition.n.01')		convert-26.6.2	Synset('aid.n.02')
other_cos-45.4	Synset('anticipation.n.01')		Synset('value.n.02')	Synset('beverage.n.01')
murder-42.1-1	Synset('operator.n.02')		Synset('adult.n.01')	characterize-29.2-1-1
appear-48.1.1	Synset('strain.n.04')		Synset('person.n.01')	Synset('force.n.04')
Synset('motor_vehicle.n.01')	correspond-36.1		amuse-31.1	Synset('serviceman.n.01')
Synset('time_period.n.01')	contribute-13.2-1		calibratable_cos-45.6-1	dow
Synset('emotion.n.01')	ebb		Synset('framework.n.03')	Synset('flow.n.01')
Synset('collection.n.01')	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('value.n.02')
near	Synset('fund.n.01')		Synset('legal_document.n.01')	Synset('building.n.01')
appear-48.1.1	Synset('emotion.n.01')		Synset('monetary_unit.n.01')	Synset('precious_metal.n.01')
Synset('time_period.n.01')	near		other_cos-45.4	characterize-29.2-1
stop-55.4-1	Synset('blockade.n.01')		Synset('force.n.04')	disappearance-48.2
appear-48.1.1	keep-15.2		calibratable_cos-45.6-1	Synset('fuel.n.01')
get-13.5.1	Synset('cattle.n.01')		Synset('large_indefinite_quantity.n.01')	Synset('component.n.01')
Synset('agent.n.03')	Synset('creator.n.02')		characterize-29.2-1	Synset('clue.n.02')
cheat-10.6-1	Synset('economic_process.n.01')		Synset('activity.n.01')	Synset('gathering.n.01')
calibratable_cos-45.6-1	Synset('tax.n.01')		Synset('attraction.n.01')	Synset('flow.n.01')
Synset('military_action.n.01')	battle-36.4-1		exist-47.1-1	Synset('municipality.n.01')
calibratable_cos-45.6-1	Synset('levy.n.01')		get-13.5.1	Synset('share.n.01')
Synset('time_period.n.01')	escape-51.1-1		Synset('slope.n.01')	west
calibratable_cos-45.6-1	Synset('activity.n.01')		Synset('framework.n.03')	Synset('indefinite_quantity.n.01')
amuse-31.1	Synset('agent.n.05')		dow	Synset('indefinite_quantity.n.01')
Synset('influence.n.01')	u.n.		exist-47.1-1	Synset('fear.n.01')
near	Synset('body_of_water.n.01')		ferret-35.6	Synset('condition.n.01')
Synset('framework.n.03')	rebound		dow	Synset('change_of_location.n.01')
near	Synset('choice.n.02')		murder-42.1-1	india
Synset('emotion.n.01')	Synset('curiosity.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('activity.n.01')	ferret-35.6		calibratable_cos-45.6-1	Synset('attraction.n.01')
bring-11.3	Synset('curve.n.01')		Synset('idea.n.01')	Synset('fund.n.01')
amuse-31.1	iraq		Synset('monetary_unit.n.01')	Synset('sphere.n.05')
near	Synset('choice.n.02')		appear-48.1.1	Synset('conflict.n.01')
begin-55.1-1	Synset('discussion.n.02')		Synset('discussion.n.02')	Synset('building.n.01')
begin-55.1-1	Synset('discussion.n.02')		other_cos-45.4	Synset('disparity.n.01')
escape-51.1-2	Synset('residence.n.01')		Synset('conflict.n.01')	bosnia
stop-55.4-1	Synset('contest.n.01')		build-26.1-1	Synset('ammunition.n.01')
Synset('emotion.n.01')	cheat-10.6-1		calibratable_cos-45.6-1	Synset('framework.n.03')
Synset('discussion.n.02')	Synset('organization.n.01')		Synset('educational_institution.n.01')	meander-47.7
Synset('lipid.n.01')	Synset('slope.n.01')		Synset('commerce.n.01')	Synset('insufficiency.n.03')
Synset('indefinite_quantity.n.01')	Synset('interest.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('lipid.n.01')	Synset('liquid.n.03')		Synset('activity.n.01')	forbid-67
conjecture-29.5-1	Synset('symptom.n.01')		amuse-31.1	Synset('american.n.01')
other_cos-45.4	Synset('rate.n.01')		Synset('medium_of_exchange.n.01')	Synset('production.n.07')
appear-48.1.1	Synset('work.n.01')		calibratable_cos-45.6-1	Synset('financial_gain.n.01')
contribute-13.2-1	Synset('object.n.01')		Synset('indefinite_quantity.n.01')	characterize-29.2-1-2
calibratable_cos-45.6-1	Synset('tax.n.01')		appear-48.1.1	Synset('funds.n.01')
Synset('emotion.n.01')	Synset('economic_process.n.01')		Synset('framework.n.03')	Synset('swimming.n.01')
Synset('value.n.02')	Synset('lipid.n.01')		Synset('gregorian_calendar_month.n.01')	Synset('insufficiency.n.03')
exist-47.1-1	Synset('military_action.n.01')		Synset('levy.n.01')	Synset('property.n.01')
Synset('time_period.n.01')	Synset('area.n.01')		appear-48.1.1	Synset('power.n.01')
entity_specific_modes_being-47.2	Synset('conflict.n.01')		Synset('slav.n.01')	bosnia
Synset('fund.n.01')	Synset('situation.n.03')		Synset('monetary_unit.n.01')	Synset('evaluation.n.02')
disappearance-48.2	Synset('written_agreement.n.01')		escape-51.1-2	Synset('discussion.n.02')
calibratable_cos-45.6-1	Synset('precious_metal.n.01')		Synset('monetary_unit.n.01')	correspond-36.1
Synset('discussion.n.02')	Synset('class.n.03')		Synset('person.n.01')	Synset('happening.n.01')
Synset('military_action.n.01')	iraq		appear-48.1.1	Synset('capital.n.01')
calibratable_cos-45.6-1	Synset('tax.n.01')		Synset('capitalist.n.02')	Synset('line.n.20')
Synset('discussion.n.02')	Synset('peace.n.01')		murder-42.1-1	Synset('asian.n.01')
Synset('discussion.n.02')	continue-55.3		appear-48.1.1	Synset('formation.n.01')
bring-11.3	Synset('legislature.n.01')		Synset('legal_document.n.01')	Synset('building.n.01')
near	Synset('season.n.02')		Synset('abstraction.n.06')	Synset('resource.n.02')
appear-48.1.1	dow		Synset('framework.n.03')	Synset('small_indefinite_quantity.n.01')
knicks	Synset('plate_glass.n.01')		Synset('large_indefinite_quantity.n.01')	ewing
appear-48.1.1	Synset('geological_phenomenon.n.01')		Synset('emergence.n.01')	Synset('fee.n.01')
appear-48.1.1	Synset('disorder.n.01')		Synset('force.n.04')	Synset('propulsion.n.02')
battle-36.4-1	Synset('confederate_soldier.n.01')		india	kashmir
fill-9.8	Synset('choice.n.02')		Synset('value.n.02')	Synset('swimming.n.01')
calibratable_cos-45.6-1	Synset('request.n.01')		appear-48.1.1	Synset('safety.n.01')
other_cos-45.4	Synset('politician.n.02')		convert-26.6.2	Synset('military_action.n.01')
appear-48.1.1	Synset('interest.n.01')		Synset('monetary_unit.n.01')	Synset('change_of_location.n.01')
appear-48.1.1	Synset('indefinite_quantity.n.01')		appear-48.1.1	Synset('value.n.02')
calibratable_cos-45.6-1	Synset('emotion.n.01')		calibratable_cos-45.6-1	Synset('cereal.n.01')
cheat-10.6-1	Synset('economic_process.n.01')		appear-48.1.1	Synset('funds.n.01')
Synset('immunodeficiency.n.01')	Synset('infectious_agent.n.01')		other_cos-45.4	Synset('agent.n.03')
appear-48.1.1	Synset('document.n.01')		fill-9.8	Synset('experiment.n.02')
Synset('time_period.n.01')	near		Synset('questioning.n.01')	swarm-47.5.1-2-1
escape-51.1-2	Synset('residence.n.01')		exist-47.1-1	Synset('emotion.n.01')
Synset('person.n.01')	battle-36.4-1		murder-42.1-1	Synset('large_indefinite_quantity.n.01')
appear-48.1.1	Synset('disorder.n.01')		appear-48.1.1	braid-41.2.2
Synset('emotion.n.01')	Synset('curiosity.n.01')		calibratable_cos-45.6-1	Synset('capital.n.01')
other_cos-45.4	Synset('anticipation.n.01')		calibratable_cos-45.6-1	dow
Synset('income.n.01')	Synset('residence.n.01')		Synset('value.n.02')	Synset('funds.n.01')
Synset('activity.n.01')	battle-36.4-1		other_cos-45.4	Synset('collection.n.01')
bring-11.3	Synset('income.n.01')		Synset('value.n.02')	Synset('funds.n.01')
other_cos-45.4	Synset('situation.n.03')		amuse-31.1	characterize-29.2-1
appear-48.1.1	Synset('curiosity.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
other_cos-45.4	Synset('cargo_ship.n.01')		Synset('motor_vehicle.n.01')	Synset('operator.n.02')
Synset('building.n.01')	masquerade-29.6-1		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
Synset('discussion.n.02')	modes_of_being_with_motion-47.3		iraq	Synset('document.n.01')
Synset('magnitude_relation.n.01')	Synset('curiosity.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
Synset('capitalist.n.02')	Synset('shelter.n.01')		Synset('emergence.n.01')	Synset('precious_metal.n.01')
Synset('activity.n.01')	Synset('recovery.n.03')		other_cos-45.4	Synset('difficulty.n.03')
other_cos-45.4	Synset('situation.n.03')		conjecture-29.5-1	Synset('building.n.01')
Synset('capitalist.n.02')	Synset('shelter.n.01')		Synset('gathering.n.01')	Synset('funds.n.01')
appear-48.1.1	Synset('interest.n.01')		Synset('value.n.02')	Synset('funds.n.01')
Synset('attraction.n.01')	Synset('rubbish.n.01')		amuse-31.1	Synset('inhabitant.n.01')
escape-51.1-2	Synset('structure.n.01')		amuse-31.1	Synset('correctional_institution.n.01')
convert-26.6.2	Synset('person.n.01')		appear-48.1.1	Synset('phenomenon.n.01')
appear-48.1.1	Synset('fee.n.01')		Synset('emotion.n.01')	Synset('adversary.n.01')
put-9.1	Synset('financial_loss.n.01')		Synset('activity.n.01')	Synset('inhabitant.n.01')
amuse-31.1	Synset('african.n.01')		murder-42.1-1	Synset('reformer.n.01')
Synset('discussion.n.02')	Synset('organization.n.01')		characterize-29.2-1-2	Synset('development.n.01')
Synset('anticipation.n.01')	Synset('order.n.03')		begin-55.1-1	Synset('journey.n.01')
stop-55.4-1	Synset('meeting.n.01')		other_cos-45.4	Synset('immunodeficiency.n.01')
convert-26.6.2	Synset('value.n.02')		Synset('precious_metal.n.01')	Synset('conductor.n.02')
Synset('activity.n.01')	Synset('parent.n.01')		Synset('happening.n.01')	disappearance-48.2
Synset('creation.n.02')	Synset('bridge.n.05')		appear-48.1.1	Synset('value.n.02')
Synset('being.n.01')	Synset('creation.n.02')		Synset('being.n.01')	Synset('creation.n.02')
Synset('value.n.02')	Synset('bean.n.02')		continue-55.3	Synset('cereal.n.01')
Synset('emotion.n.01')	Synset('economic_process.n.01')		appear-48.1.1	Synset('time_unit.n.01')
other_cos-45.4	Synset('attitude.n.01')		amuse-31.1	Synset('value.n.02')
Synset('conversation.n.01')	Synset('cooperation.n.01')		Synset('idea.n.01')	Synset('fund.n.01')
escape-51.1-2	Synset('discussion.n.02')		Synset('monetary_unit.n.01')	Synset('longing.n.01')
braid-41.2.2	Synset('evidence.n.02')		appear-48.1.1	dow
Synset('anticipation.n.01')	Synset('magnitude_relation.n.01')		dow	Synset('component.n.01')
focus-87	Synset('evaluation.n.02')		Synset('monetary_unit.n.01')	modes_of_being_with_motion-47.3
Synset('activity.n.01')	Synset('collection.n.01')		calibratable_cos-45.6-1	dow
Synset('happening.n.01')	contiguous_location-47.8		Synset('adult.n.01')	disappearance-48.2
Synset('document.n.01')	Synset('merchant.n.01')		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
clear-10.3-1	Synset('barrier.n.01')		Synset('building.n.01')	consume-66
amuse-31.1	Synset('income.n.01')		Synset('assets.n.01')	Synset('school.n.01')
calibratable_cos-45.6-1	Synset('american.n.01')		Synset('activity.n.01')	Synset('artifact.n.01')
Synset('indefinite_quantity.n.01')	Synset('confederate_soldier.n.01')		Synset('happening.n.01')	peru
exist-47.1-1	Synset('indefinite_quantity.n.01')		Synset('value.n.02')	Synset('meat.n.01')
Synset('military_action.n.01')	battle-36.4-1		other_cos-45.4	Synset('attempt.n.01')
Synset('discussion.n.02')	Synset('point.n.06')		characterize-29.2-1-2	Synset('development.n.01')
disappearance-48.2	Synset('arab.n.01')		Synset('emotion.n.01')	Synset('emergence.n.01')
preparing-26.3-1	dub-29.3		continue-55.3	Synset('operation.n.05')
Synset('military_action.n.01')	entity_specific_modes_being-47.2		exist-47.1-1	Synset('emotion.n.01')
convert-26.6.2	Synset('person.n.01')		appear-48.1.1	Synset('administrator.n.01')
near	Synset('extremity.n.04')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('military_action.n.01')	Synset('weapon.n.01')		other_cos-45.4	Synset('military_action.n.01')
other_cos-45.4	Synset('organic_process.n.01')		Synset('broadcasting.n.02')	Synset('telegram.n.01')
amuse-31.1	Synset('emotion.n.01')		Synset('framework.n.03')	Synset('swimming.n.01')
appear-48.1.1	g.o.p.		Synset('idea.n.01')	Synset('woody_plant.n.01')
appear-48.1.1	Synset('military_action.n.01')		judgement-33	Synset('professional.n.01')
Synset('happening.n.01')	Synset('bodily_process.n.01')		judgement-33	Synset('professional.n.01')
near	Synset('retreat.n.01')		other_cos-45.4	Synset('confederate_soldier.n.01')
Synset('residence.n.01')	entity_specific_modes_being-47.2		disappearance-48.2	Synset('juvenile.n.01')
Synset('activity.n.01')	await		amuse-31.1	Synset('funds.n.01')
disappearance-48.2	Synset('written_agreement.n.01')		Synset('discussion.n.02')	Synset('surveying_instrument.n.01')
Synset('discussion.n.02')	Synset('peace.n.01')		appear-48.1.1	Synset('military_action.n.01')
characterize-29.2-1	Synset('emergence.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
convert-26.6.2	Synset('levy.n.01')		correspond-36.1	Synset('production.n.07')
amuse-31.1	Synset('unit.n.03')		convert-26.6.2	peer-30.3
characterize-29.2-1	Synset('indefinite_quantity.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
contribute-13.2-1	Synset('object.n.01')		Synset('income.n.01')	characterize-29.2-1-2
calibratable_cos-45.6-1	Synset('artifact.n.01')		Synset('value.n.02')	Synset('indefinite_quantity.n.01')
Synset('contest.n.01')	Synset('legislature.n.01')		get-13.5.1	Synset('race.n.01')
other_cos-45.4	Synset('boat.n.01')		Synset('person.n.01')	run-51.3.2
appear-48.1.1	Synset('time_period.n.01')		conjecture-29.5-1	Synset('animal.n.01')
Synset('emergence.n.01')	Synset('magnitude_relation.n.01')		Synset('monetary_unit.n.01')	Synset('indefinite_quantity.n.01')
Synset('activity.n.01')	Synset('recovery.n.03')		Synset('happening.n.01')	Synset('juvenile.n.01')
build-26.1	Synset('advantage.n.01')		get-13.5.1	Synset('computer_network.n.01')
other_cos-45.4	Synset('belief.n.01')		appear-48.1.1	Synset('lipid.n.01')
other_cos-45.4	Synset('commerce.n.01')		Synset('framework.n.03')	send-11.1-1
murder-42.1-1	Synset('motor_vehicle.n.01')		Synset('adult.n.01')	characterize-29.2-1-1
Synset('discussion.n.02')	continue-55.3		Synset('person.n.01')	Synset('job_action.n.01')
Synset('discussion.n.02')	Synset('organization.n.01')		Synset('public_transport.n.01')	meander-47.7
calibratable_cos-45.6-1	Synset('component.n.01')		other_cos-45.4	Synset('gathering.n.01')
albany	Synset('conference.n.03')		judgement-33	Synset('legal_document.n.01')
amuse-31.1	Synset('serviceman.n.01')		murder-42.1-1	Synset('asian.n.01')
escape-51.1-2	Synset('property.n.02')		characterize-29.2-1	Synset('serviceman.n.01')
Synset('monetary_unit.n.01')	continue-55.3		Synset('value.n.02')	Synset('precious_metal.n.01')
other_cos-45.4	Synset('situation.n.03')		Synset('monetary_unit.n.01')	Synset('decrease.n.02')
Synset('income.n.01')	lag		other_cos-45.4	Synset('neckwear.n.01')
Synset('income.n.01')	Synset('document.n.01')		appear-48.1.1	Synset('funds.n.01')
Synset('asian.n.01')	investigate-35.4		Synset('slope.n.01')	west
cheat-10.6-1	Synset('negative_stimulus.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
other_cos-45.4	seem		calibratable_cos-45.6-1	Synset('funds.n.01')
near	Synset('vote.n.02')		Synset('person.n.01')	Synset('organization.n.01')
stop-55.4-1	correspond-36.1		appear-48.1.1	Synset('avoirdupois_unit.n.01')
Synset('ill_health.n.01')	put-9.1		Synset('american.n.01')	peer-30.3
other_cos-45.4	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	dow
Synset('collection.n.01')	Synset('merchant.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
Synset('activity.n.01')	await		Synset('monetary_unit.n.01')	Synset('commerce.n.01')
Synset('emotion.n.01')	cheat-10.6-1		calibratable_cos-45.6-1	Synset('lipid.n.01')
Synset('military_action.n.01')	near		other_cos-45.4	Synset('formation.n.01')
appear-48.1.1	Synset('atmospheric_phenomenon.n.01')		Synset('body_of_water.n.01')	Synset('shore.n.01')
Synset('framework.n.03')	Synset('attraction.n.01')		Synset('monetary_unit.n.01')	Synset('commerce.n.01')
Synset('time_period.n.01')	bring-11.3		appear-48.1.1	Synset('power.n.01')
other_cos-45.4	Synset('improvement.n.02')		Synset('quality.n.01')	Synset('nonaccomplishment.n.01')
stop-55.4-1	Synset('blockade.n.01')		amuse-31.1	Synset('municipality.n.01')
Synset('collection.n.01')	await		Synset('monetary_unit.n.01')	Synset('commerce.n.01')
Synset('discussion.n.02')	continue-55.3		other_cos-45.4	Synset('discussion.n.02')
amuse-31.1	Synset('value.n.02')		stop-55.4-1	Synset('monetary_unit.n.01')
other_cos-45.4	Synset('atmospheric_phenomenon.n.01')		Synset('residence.n.01')	contribute-13.2-2
Synset('evaluation.n.02')	Synset('longing.n.01')		stop-55.4-1	Synset('monetary_unit.n.01')
appear-48.1.1	Synset('value.n.02')		get-13.5.1	Synset('precious_metal.n.01')
continue-55.3	lebanon		put-9.1	Synset('fee.n.01')
appear-48.1.1	china		Synset('organization.n.01')	contiguous_location-47.8-1
Synset('body_of_water.n.01')	Synset('cyclone.n.02')		ferret-35.6	Synset('condition.n.01')
amuse-31.1	Synset('unit.n.03')		convert-26.6.2	Synset('municipality.n.01')
begin-55.1-1	Synset('choice.n.02')		fill-9.8	Synset('experiment.n.02')
Synset('collection.n.01')	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('funds.n.01')
disappearance-48.2	Synset('written_agreement.n.01')		Synset('value.n.02')	Synset('lipid.n.01')
Synset('activity.n.01')	entity_specific_cos-45.5		Synset('thoroughfare.n.01')	Synset('partition.n.01')
calibratable_cos-45.6-1	Synset('lipid.n.01')		stop-55.4-1	Synset('gathering.n.01')
Synset('force.n.04')	battle-36.4-1		indicate-78-1	disappearance-48.2
near	Synset('product.n.02')		Synset('lipid.n.01')	iraq
exist-47.1-1	Synset('economic_process.n.01')		appear-48.1.1	Synset('funds.n.01')
Synset('activity.n.01')	Synset('creation.n.02')		appear-48.1.1	Synset('value.n.02')
Synset('commerce.n.01')	flinch-40.5		Synset('partition.n.01')	st.
calibratable_cos-45.6-1	Synset('framework.n.03')		Synset('content.n.05')	Synset('application.n.01')
Synset('monetary_unit.n.01')	Synset('property.n.02')		Synset('gathering.n.01')	Synset('funds.n.01')
amuse-31.1	neglect-75-1-1		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
other_cos-45.4	Synset('activity.n.01')		Synset('person.n.01')	disappearance-48.2
convert-26.6.2	Synset('transaction.n.01')		Synset('monetary_unit.n.01')	Synset('emergence.n.01')
Synset('body_of_water.n.01')	Synset('shore.n.01')		ferret-35.6	Synset('condition.n.01')
appear-48.1.1	Synset('magnitude_relation.n.01')		Synset('value.n.02')	Synset('capital.n.01')
Synset('capital.n.01')	Synset('scale.n.01')		Synset('idea.n.01')	Synset('commerce.n.01')
calibratable_cos-45.6-1	Synset('tax.n.01')		dow	Synset('change_of_location.n.01')
Synset('activity.n.01')	await		amuse-31.1	Synset('value.n.02')
cheat-10.6-1	Synset('economic_process.n.01')		appear-48.1.1	Synset('time_unit.n.01')
